songs,artist,album,cover art,release date
break from toronto,party next door,party next door,"https://media.pitchfork.com/photos/5929a21fb1335d7bf169840d/1:1/w_320,c_limit/222f293f.jpg",2023
hay lupita,lomiiel,N/A,https://europaremix.com/8535-large_default/hay-lupita-x-la-duena-del-swing-lomiiel-los-hermanos-rosario-mashup-154-bpm-alex-vip.jpg,2024
power trip,jay cole,born sinner,"https://media.pitchfork.com/photos/5929c216eb335119a49ed667/16:9/w_1280,c_limit/132aecb4.jpg",2013
lets pay a game,baby kia,N/A,https://e-cdn-images.dzcdn.net/images/cover/8ee68cbd873654fcd272ca8da9192b24/500x500-000000-80-0-0.jpg,2023
dear mama,2 pac,Me Against The world ,https://e-cdn-images.dzcdn.net/images/cover/cc46ce618d538896071b62abd104cae9/500x500-000000-80-0-0.jpg,1995
moon light ,xxx,?,,2017
bad ,xxx,skins,https://m.media-amazon.com/images/I/61+Qgpp6WJL._AC_SL1024_.jpg,2019
lucid dreams ,juice world,Goodbye & Good Riddance,https://e-cdn-images.dzcdn.net/images/cover/f8c4db1b0f346d6e4b1558f734ad4523/500x500-000000-80-0-0.jpg,2017
